ID_TEAM,EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA,CREATED_AT
ffd4f419,Manchester City,1,1,0,0,4,0,4,3,INGLATERRA,2025-08-22
ffd4f41a,Tottenham Hotspur,1,1,0,0,3,0,3,3,INGLATERRA,2025-08-22
ffd4f41f,Liverpool,1,1,0,0,4,2,2,3,INGLATERRA,2025-08-22
ffd4f42a,Nottingham Forest,1,1,0,0,3,1,2,3,INGLATERRA,2025-08-22
ffd4f418,Arsenal,1,1,0,0,1,0,1,3,INGLATERRA,2025-08-22
ffd4f422,Leeds United,1,1,0,0,1,0,1,3,INGLATERRA,2025-08-22
ffd4f41b,Brighton & Hove Albion,1,0,1,0,1,1,0,1,INGLATERRA,2025-08-22
ffd4f41d,Fulham,1,0,1,0,1,1,0,1,INGLATERRA,2025-08-22
ffd4f426,Aston Villa,1,0,1,0,0,0,0,1,INGLATERRA,2025-08-22
ffd4f41e,Chelsea,1,0,1,0,0,0,0,1,INGLATERRA,2025-08-22
ffd4f427,Crystal Palace,1,0,1,0,0,0,0,1,INGLATERRA,2025-08-22
ffd4f421,Newcastle United,1,0,1,0,0,0,0,1,INGLATERRA,2025-08-22
ffd4f424,Everton,1,0,0,1,0,1,-1,0,INGLATERRA,2025-08-22
ffd4f41c,Manchester United,1,0,0,1,0,1,-1,0,INGLATERRA,2025-08-22
ffd4f423,AFC Bournemouth,1,0,0,1,2,4,-2,0,INGLATERRA,2025-08-22
ffd4f420,Brentford,1,0,0,1,1,3,-2,0,INGLATERRA,2025-08-22
ffd4f429,West Ham United,1,0,0,1,0,3,-3,0,INGLATERRA,2025-08-22
ffd4f428,Wolverhampton Wanderers,1,0,0,1,0,4,-4,0,INGLATERRA,2025-08-22
ffd4cd07,Barcelona,1,1,0,0,3,0,3,3,ESPAÑA,2025-08-22
ffd4f40f,Rayo Vallecano,1,1,0,0,3,1,2,3,ESPAÑA,2025-08-22
ffd4cd0b,Villarreal,1,1,0,0,2,0,2,3,ESPAÑA,2025-08-22
ffd4f411,Getafe,1,1,0,0,2,0,2,3,ESPAÑA,2025-08-22
ffd4cd09,Athletic Club,1,1,0,0,3,2,1,3,ESPAÑA,2025-08-22
ffd4f414,Espanyol,1,1,0,0,2,1,1,3,ESPAÑA,2025-08-22
ffd4cd06,Real Madrid,1,1,0,0,1,0,1,3,ESPAÑA,2025-08-22
ffd4f417,Elche,1,0,1,0,1,1,0,1,ESPAÑA,2025-08-22
ffd4cd08,Real Betis,1,0,1,0,1,1,0,1,ESPAÑA,2025-08-22
ffd4cd0e,Valencia,1,0,1,0,1,1,0,1,ESPAÑA,2025-08-22
ffd4cd0d,Real Sociedad,1,0,1,0,1,1,0,1,ESPAÑA,2025-08-22
ffd4f412,Sevilla FC,1,0,0,1,2,3,-1,0,ESPAÑA,2025-08-22
ffd4cd0c,Atlético Madrid,1,0,0,1,1,2,-1,0,ESPAÑA,2025-08-22
ffd4cd0a,Osasuna,1,0,0,1,0,1,-1,0,ESPAÑA,2025-08-22
ffd4f410,Celta Vigo,1,0,0,1,0,2,-2,0,ESPAÑA,2025-08-22
ffd4f40d,Mallorca,1,0,0,1,0,3,-3,0,ESPAÑA,2025-08-22
ffd4f42d,Atalanta,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f43b,Bolonia,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f43e,Cremonese,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f435,Fiorentina,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f43c,Hellas Verona,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f432,Internazionale,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f433,Juventus,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f42f,Lazio,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f43a,Lecce,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f430,AC Milan,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f42c,Napoli,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f431,AS Roma,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f436,Sassuolo,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f434,Torino,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f42e,Udinese,0,0,0,0,0,0,0,0,ITALIA,2025-08-22
ffd4f444,AS Mónaco,1,1,0,0,3,1,2,3,FRANCIA,2025-08-22
ffd4f440,Paris Saint-Germain,1,1,0,0,1,0,1,3,FRANCIA,2025-08-22
ffd4f445,NLyon,1,1,0,0,1,0,1,3,FRANCIA,2025-08-22
ffd4f44f,AJ Auxerre,1,1,0,0,1,0,1,3,FRANCIA,2025-08-22
ffd4f44d,Angers,1,1,0,0,1,0,1,3,FRANCIA,2025-08-22
ffd4f447,Stade Rennais,1,1,0,0,1,0,1,3,FRANCIA,2025-08-22
ffd4f446,LLille,1,0,1,0,3,3,0,1,FRANCIA,2025-08-22
ffd4f452,Brest,1,0,1,0,3,3,0,1,FRANCIA,2025-08-22
ffd4f44e,Nantes,1,0,0,1,0,1,-1,0,FRANCIA,2025-08-22
ffd4f443,Lens,1,0,0,1,0,1,-1,0,FRANCIA,2025-08-22
ffd4f442,Lorient,1,0,0,1,0,1,-1,0,FRANCIA,2025-08-22
ffd4f44c,ENice,1,0,0,1,0,1,-1,0,FRANCIA,2025-08-22
ffd4f441,Marseille,1,0,0,1,0,1,-1,0,FRANCIA,2025-08-22
ffd4f470,NEC Nijmegen,2,2,0,0,9,1,8,6,HOLANDA,2025-08-22
ffd4f466,PSV Eindhoven,2,2,0,0,8,1,7,6,HOLANDA,2025-08-22
ffd4f469,Feyenoord Rotterdam,2,2,0,0,4,1,3,6,HOLANDA,2025-08-22
ffd4f468,Z Alkmaar,2,1,1,0,6,3,3,4,HOLANDA,2025-08-22
ffd4f467,XAjax Amsterdam,2,1,1,0,4,2,2,4,HOLANDA,2025-08-22
ffd4f46e,FC Utrecht,2,1,0,1,5,2,3,3,HOLANDA,2025-08-22
ffd4f471,FC Groningen,2,1,0,1,3,5,-2,3,HOLANDA,2025-08-22
ffd4f46c,RotterdamSparta Rotterdam,2,1,0,1,3,7,-4,3,HOLANDA,2025-08-22
ffd4f472,AheadGo Ahead Eagles,2,0,2,0,4,4,0,2,HOLANDA,2025-08-22
ffd4f474,VolendamFC Volendam,2,0,2,0,3,3,0,2,HOLANDA,2025-08-22
ffd4f475,tunaFortuna Sittard,2,0,1,1,3,4,-1,1,HOLANDA,2025-08-22
ffd4f46b,Heerenveen,2,0,1,1,2,3,-1,1,HOLANDA,2025-08-22
ffd4f46a,FC Twente,2,0,0,2,0,3,-3,0,HOLANDA,2025-08-22
ffd4f46f,Excelsior,2,0,0,2,1,7,-6,0,HOLANDA,2025-08-22
ffd4f45b,Sporting CP,2,2,0,0,8,0,8,6,PORTUGAL,2025-08-22
ffd4f455,GBraga,2,2,0,0,6,0,6,6,PORTUGAL,2025-08-22
ffd4f456,FC Porto,2,2,0,0,5,0,5,6,PORTUGAL,2025-08-22
ffd4f463,FC Famalicao,2,2,0,0,4,0,4,6,PORTUGAL,2025-08-22
ffd4f454,Benfica,1,1,0,0,1,0,1,3,PORTUGAL,2025-08-22
ffd4f459,Casa Pia,2,1,0,1,2,2,0,3,PORTUGAL,2025-08-22
ffd4f45d,CGil Vicente,2,1,0,1,2,2,0,3,PORTUGAL,2025-08-22
ffd4f45c,Guimaraes,2,1,0,1,3,5,-2,3,PORTUGAL,2025-08-22
ffd4f45f,Arouca,2,1,0,1,3,7,-4,3,PORTUGAL,2025-08-22
ffd4f460,Rio Ave,1,0,1,0,1,1,0,1,PORTUGAL,2025-08-22
ffd4f45a,Estoril,2,0,1,1,3,4,-1,1,PORTUGAL,2025-08-22
ffd4f461,Santa Clara,2,0,0,2,0,4,-4,0,PORTUGAL,2025-08-22
